bookid;name;author;genre;lang
830;Snow Crash;Neal Stephenson;Science Fiction;English
835;Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments, Volume I: Strategic Play (Harrington on Hold 'em #1);Dan Harrington;Nonfiction;English
840;The Design of Everyday Things;Donald A. Norman;Design;English
856;The Trust: The Private and Powerful Family Behind The New York Times;Susan E. Tifft;Writing;English
857;Web Standards Solutions: The Markup and Style Handbook (Pioneering Series);Dan Cederholm;Design;English
865;The Alchemist;Paulo Coelho;Fiction;English
874;The Kite Runner;Khaled Hosseini;Fiction;English
890;Of Mice and Men;John Steinbeck;Fiction;English
901;Ender's Game (Ender's Saga #1);Orson Scott Card;Science Fiction;English
903;The Egypt Game (Game #1);Zilpha Keatley Snyder;Fiction;English
905;The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance;W. Timothy Gallwey;Nonfiction;English
912;Rich Dad, Poor Dad (Rich Dad #1);Robert T. Kiyosaki;Business;English
930;Memoirs of a Geisha;Arthur Golden;Fiction;English
960;Angels & Demons (Robert Langdon #1);Dan Brown;Mystery;English
968;The Da Vinci Code (Robert Langdon #2);Dan Brown;Mystery;English
975;Deception Point;Dan Brown;Fiction;English
1004;Think and Grow Rich;Napoleon Hill;Self Help;English
1014;Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series);Mike   Mason;Computer Science;English
1067;1776;David McCullough;History;English
1078;The Good Earth (House of Earth #1);Pearl S. Buck;Classics;English
1111;The Power Broker: Robert Moses and the Fall of New York;Robert A. Caro;History;English
1202;Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1);Steven D. Levitt;Economics;English
1226;Life of Pi;Yann Martel;Fantasy;English
1232;The Shadow of the Wind (El cementerio de los libros olvidados #1);Carlos Ruiz ZafÃ³n;Fiction;English
1295;The Clan of the Cave Bear (Earth's Children #1);Jean M. Auel;Historical;English
1301;Moneyball: The Art of Winning an Unfair Game;Michael   Lewis;Nonfiction;English
1306;Gates Of Fire;Steven Pressfield;Fiction;English
1316;The Virtues of War: A Novel of Alexander the Great;Steven Pressfield;Historical;English
1319;The War of Art: Break Through the Blocks & Win Your Inner Creative Battles;Steven Pressfield;Language;English
1362;The Histories;Herodotus;History;English
1376;The Iliad;Homer;Classics;English
1381;The Odyssey;Homer;Classics;English
1384;The Odyssey;Homer;Classics;English
1420;Hamlet;William Shakespeare;Classics;English
1540;The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays #1â€“3);Sophocles;Classics;English
1591;Lysistrata;Aristophanes;Plays;English
1617;Night (The Night Trilogy #1);Elie Wiesel;Nonfiction;English
1622;A Midsummer Night's Dream;William Shakespeare;Drama;English
1624;West with the Night;Beryl Markham;Nonfiction;English
1633;Getting Things Done: The Art of Stress-Free Productivity;David    Allen;Nonfiction;English
1843;Caught Inside: A Surfer's Year on the California Coast Duane, Daniel ( Author ) Apr-10-1997 Paperback;Daniel Duane;Nonfiction;English
1852;The Call of the Wild;Jack London;Classics;English
1885;Pride and Prejudice;Jane Austen;Fiction;English
1893;Pride and Prejudice;Jane Austen;Fiction;English
1898;Into Thin Air: A Personal Account of the Mount Everest Disaster;Jon Krakauer;Nonfiction;English
1934;Little Women (Little Women #1);Louisa May Alcott;Classics;English
1935;Little Women (Little Women #1);Louisa May Alcott;Classics;English
1953;A Tale of Two Cities;Charles Dickens;Fiction;English
2052;The Big Sleep (Philip Marlowe #1);Raymond Chandler;Mystery;English
2054;The Long Goodbye (Philip Marlowe #6);Raymond Chandler;Mystery;English
2122;The Fountainhead;Ayn Rand;Fiction;English
2131;The Hours;Michael Cunningham;Fiction;English
2140;Blink: The Power of Thinking Without Thinking;Malcolm Gladwell;Nonfiction;English
2175;Madame Bovary;Gustave Flaubert;Classics;English
2183;Sentimental Education;Gustave Flaubert;Fiction;English
2187;Middlesex;Jeffrey Eugenides;Fiction;English
2203;John Adams;David McCullough;History;English
2253;Daily Reflections For Highly Effective People: Living the 7 Habits of Highly Successful People Every Day;Stephen R. Covey;Nonfiction;English
2255;Way of the Peaceful Warrior: A Book That Changes Lives;Dan Millman;Spirituality;English
2256;Sacred Journey of the Peaceful Warrior;Dan Millman;Spirituality;English
2262;No Ordinary Moments: A Peaceful Warrior's Guide to Daily Life;Dan Millman;Spirituality;English
2265;It's Not about the Bike: My Journey Back to Life;Lance Armstrong;Sports;English
2443;The Innocents Abroad;Mark Twain;Travel;English
2493;The Time Machine;H.G. Wells;Classics;English
2512;Stover at Yale;Owen Johnson;Fiction;English
2519;The Name of the Rose (Everyman's Library (Cloth));Umberto Eco;Fiction;English
2529;The Tale of the Unknown Island;JosÃ© Saramago;Fiction;English
2530;Baltasar and Blimunda;JosÃ© Saramago;Fiction;English
2552;On the Road (Duluoz Legend);Jack Kerouac;Classics;English
2574;The Long Tail: Why the Future of Business Is Selling Less of More;Chris Anderson;Business;English
2590;The Art of War by Sun Tzu;Sun Tzu;Nonfiction;English
2601;Marketing Warfare;Al Ries;Business;English
2603;How to Cook Everything: The Basics: Simple Recipes Anyone Can Cook (How to Cook Everything);Mark Bittman;Food and Drink;English
2612;The Tipping Point: How Little Things Can Make a Big Difference;Malcolm Gladwell;Nonfiction;English
2615;The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business;Clayton M. Christensen;Business;English
2618;The Innovator's Solution: Creating and Sustaining Successful Growth;Clayton M. Christensen;Business;English
2623;Great Expectations;Charles Dickens;Classics;English
2655;To Kill a Mockingbird (To Kill a Mockingbird #1);Harper Lee;Classics;English
2657;To Kill a Mockingbird (To Kill a Mockingbird #1);Harper Lee;Classics;English
2666;The Bonfire of the Vanities;Tom Wolfe;Fiction;English
2674;The Wealthy Barber: The Common Sense Guide to Successful Financial Planning;David Chilton;Economics;English
2696;The Canterbury Tales;Geoffrey Chaucer;Classics;English
2735;Snow Falling On Cedars;David Guterson;Fiction;English
2748;Microserfs;Douglas Coupland;Fiction;English
2802;E=mcÂ²: A Biography of the World's Most Famous Equation;David Bodanis;Science;English
2804;Passionate Minds;David Bodanis;History;English
2834;The Tragedy of Pudd'nhead Wilson/Those Extraordinary Twins;Mark Twain;Classics;English
2836;Bridge to Terabithia;Katherine Paterson;Favorites;English
2865;Girl with a Pearl Earring;Tracy Chevalier;Historical;English
2932;Robinson Crusoe (Robinson Crusoe #1);Daniel Defoe;Classics;English
2956;The Adventures of Huckleberry Finn (The Adventures of Tom and Huck #2);Mark Twain;Historical;English
2974;A Tramp Abroad;Mark Twain;Travel;English
2998;The Secret Garden;Frances Hodgson Burnett;Classics;English
3008;A Little Princess;Frances Hodgson Burnett;Classics;English
3049;Sir Gawain and the Green Knight;Unknown;Classics;English
3068;The Assistant;Bernard Malamud;Fiction;English
3077;The Enchanted April;Elizabeth von Arnim;Romance;English
3087;A Room with a View;E.M. Forster;Classics;English
3102;Howards End;E.M. Forster;Classics;English
3107;The Sixteen Pleasures;Robert Hellenga;Fiction;English
3109;The Omnivore's Dilemma: A Natural History of Four Meals;Michael Pollan;Nonfiction;English
3110;Assassination Vacation;Sarah Vowell;Nonfiction;English
3143;Drina Dances in Exile (Drina #3);Jean Estoril;Childrens;English
3146;Drina Dances in Italy (Drina #4);Jean Estoril;Childrens;English
3150;Drina Dances Again (Drina #5);Jean Estoril;Unknown;English
3151;Drina Dances In New York (Drina #6);Jean Estoril;Young Adult;English
3156;Drina Dances in Madeira (Drina #8);Jean Estoril;Unknown;English
3326;Drina Ballerina (Drina #11);Jean Estoril;Unknown;English
3331;Drina Goes on Tour (Drina #10);Jean Estoril;Childrens;English
3353;Crystal Clear: A Human-Powered Methodology for Small Teams (The Agile Software Development Series);Alistair Cockburn;Business;English
3359;Angle of Repose;Wallace Stegner;Fiction;English
3368;Don't Make Me Think: A Common Sense Approach to Web Usability;Steve Krug;Nonfiction;English
3388;Corelli's Mandolin;Louis de BerniÃ¨res;War;English
3394;The War of Don Emmanuel's Nether Parts (Latin American Trilogy);Louis de BerniÃ¨res;Fiction;English
3396;Red Dog;Louis de BerniÃ¨res;Fiction;English
3398;SeÃ±or Vivo and the Coca Lord (Latin American Trilogy);Louis de BerniÃ¨res;Fiction;English
3399;Birds Without Wings;Louis de BerniÃ¨res;Historical;English
3400;The Troublesome Offspring of Cardinal GuzmÃ¡n (Latin American Trilogy);Louis de BerniÃ¨res;Fiction;English
3402;Kiffe Kiffe Tomorrow;FaÃ¯za GuÃ¨ne;Fiction;English
3412;The Thorn Birds;Colleen McCullough;Fiction;English
3437;The Curious Incident of the Dog in the Night-Time;Mark Haddon;Fiction;English
3480;White Swan, Black Swan;Adrienne Sharp;Unknown;English
3559;From Beirut to Jerusalem;Thomas L. Friedman;History;English
3562;Emily of New Moon (Emily #1);L.M. Montgomery;Classics;English
3565;Emily's Quest (Emily #3);L.M. Montgomery;Classics;English
3569;Emily Climbs (Emily #2);L.M. Montgomery;Classics;English
3590;The Adventures of Sherlock Holmes (The Adventures of Sherlock Holmes #1-12);Arthur Conan Doyle;Classics;English
3623;Love: A User's Guide;Clare Naylor;Womens Fiction;English
3644;Drina Dances in Switzerland (Drina #9);Jean Estoril;Unknown;English
3645;Drina Dances in Paris (Drina #7);Jean Estoril;Childrens;English
3646;Invisible Engines: How Software Platforms Drive Innovation and Transform Industries;David S. Evans;Business;English
3648;The Emperor's Children;Claire Messud;Fiction;English
3677;Where Angels Fear to Tread;E.M. Forster;Fiction;English
3679;On Beauty;Zadie Smith;Fiction;English
3685;Black Beauty;Anna Sewell;Classics;English
3711;White Teeth;Zadie Smith;Fiction;English
3741;Harriet The Spy (Harriet the Spy #1);Louise Fitzhugh;Childrens;English
3750;Moonraker (James Bond (Original Series) #3);Ian Fleming;Fiction;English
3757;Doctor No (James Bond (Original Series) #6);Ian Fleming;Fiction;English
3758;Casino Royale (James Bond (Original Series) #1);Ian Fleming;Fiction;English
3759;Goldfinger (James Bond (Original Series) #7);Ian Fleming;Fiction;English
3760;Diamonds Are Forever (James Bond (Original Series) #4);Ian Fleming;Fiction;English
3761;You Only Live Twice (James Bond (Original Series) #12);Ian Fleming;Fiction;English
3762;On Her Majesty's Secret Service (James Bond (Original Series) #11);Ian Fleming;Fiction;English
3763;Live and Let Die (James Bond (Original Series) #2);Ian Fleming;Fiction;English
3764;From Russia With Love (James Bond (Original Series) #5);Ian Fleming;Fiction;English
3774;The Subterraneans (Duluoz Legend);Jack Kerouac;Fiction;English
3776;Ballet Shoes (Shoes #1);Noel Streatfeild;Childrens;English
3780;Ballet Shoes for Anna;Noel Streatfeild;Childrens;English
3782;Theater Shoes (Shoes #4);Noel Streatfeild;Childrens;English
3784;Movie Shoes (Shoes #6);Noel Streatfeild;Childrens;English
3788;Thursday's Child (Margaret Thursday #1);Noel Streatfeild;Childrens;English
3791;Thursday's Children;Rumer Godden;Fiction;English
3796;The Greengage Summer;Rumer Godden;Fiction;English
3836;Don Quixote (Don Quijote de la Mancha #1-2);Miguel de Cervantes Saavedra;Classics;English
3867;The History of Love;Nicole Krauss;Fiction;English
3876;The Sun Also Rises (Fiesta);Ernest Hemingway;Classics;English
3900;Into a Paris Quartier: Reine Margot's Chapel and Other Haunts of St. Germain;Diane Johnson;Cultural;English
3973;Ilium (Ilium #1);Dan Simmons;Fantasy;English
3977;Endymion (Hyperion Cantos #3);Dan Simmons;Science Fiction;English
3980;From the Mixed-Up Files of Mrs. Basil E. Frankweiler;E.L. Konigsburg;Fiction;English
4009;Nine Stories;J.D. Salinger;Short Stories;English
4069;Man's Search for Meaning;Viktor E. Frankl;Nonfiction;English
4099;The Pragmatic Programmer: From Journeyman to Master;Andy Hunt;Computer Science;English
4137;Me Talk Pretty One Day;David Sedaris;Nonfiction;English
4197;Siddhartha;Hermann Hesse;Fiction;English
4214;Life of Pi;Yann Martel;Fantasy;English
4248;The Da Vinci Code (Robert Langdon #2);Dan Brown;Mystery;English
4264;Fever Pitch;Nick Hornby;Fiction;English
4271;About a Boy;Nick Hornby;Fiction;English
4337;The Zanzibar Chest;Aidan Hartley;Cultural;English
4380;Fahrenheit 451;Ray Bradbury;Science Fiction;English
4395;The Grapes of Wrath;John Steinbeck;Classics;English
4406;East of Eden;John Steinbeck;Classics;English
4422;A Confederacy of Dunces;John Kennedy Toole;Fiction;English
4473;A Prayer for Owen Meany;John Irving;Fiction;English
4486;Bridget Jones's Diary (Bridget Jones #1);Helen Fielding;Womens Fiction;English
4514;The Ruby Way: Solutions and Techniques in Ruby Programming (Addison-Wesley Professional Ruby Series);Hal Fulton;Computer Science;English
4600;Moo, Baa, La La La!;Sandra Boynton;Childrens;English
4610;Catch-22 (Catch-22 #1);Joseph Heller;Classics;English
4623;Does Anything Eat Wasps?: And 101 Other Unsettling, Witty Answers to Questions You Never Thought You Wanted to Ask (New Scientist Last Word #3);New Scientist;Nonfiction;English
4627;For Whom The Bell Tolls;Ernest Hemingway;Classics;English
4645;The Snows of Kilimanjaro and Other Stories;Ernest Hemingway;Fiction;English
4648;Death in the Afternoon;Ernest Hemingway;Classics;English
4671;The Great Gatsby;F. Scott Fitzgerald;Classics;English
4687;The Cider House Rules;John Irving;Fiction;English
4739;Souvenir of Canada (Souvenir of Canada #1);Douglas Coupland;Nonfiction;English
4813;1421: The Year China Discovered America;Gavin Menzies;History;English
4865;How to Win Friends and Influence People;Dale Carnegie;Nonfiction;English
4866;How to Stop Worrying and Start Living;Dale Carnegie;Self Help;English
4902;Heart of Darkness;Joseph Conrad;Classics;English
4916;Angela's Ashes (Frank McCourt #1);Frank McCourt;Nonfiction;English
4929;Kafka on the Shore;Haruki Murakami;Fiction;English
4934;The Brothers Karamazov;Fyodor Dostoyevsky;Cultural;English
4948;The Very Hungry Caterpillar;Eric Carle;Unknown;English
4952;What Is the What;Dave Eggers;Autobiography;English
4953;A Heartbreaking Work of Staggering Genius;Dave Eggers;Unknown;English
4981;Slaughterhouse-Five;Kurt Vonnegut;Fiction;English
4989;The Red Tent;Anita Diamant;Historical;English
5043;The Pillars of the Earth (Kingsbridge #1);Ken Follett;Historical;English
5064;World Without End (Kingsbridge #2);Ken Follett;Historical;English
5084;My Life in France;Julia Child;Autobiography;English
5102;The Handmaid's Tale;Margaret Atwood;Fiction;English
5107;The Catcher in the Rye;J.D. Salinger;Classics;English
5129;Brave New World;Aldous Huxley;Classics;English
5137;The Flame Trees of Thika: Memories of an African Childhood (Elspeth Huxley's Childhood Memoirs #1);Elspeth Huxley;Cultural;English
5148;A Separate Peace;John Knowles;Classics;English
5177;Ellen Foster;Kaye Gibbons;Fiction;English
5183;Reading Oprah: How Oprah's Book Club Changed the Way America Reads;Cecilia Konchar Farr;Unknown;English
5186;Breath, Eyes, Memory;Edwidge Danticat;Unknown;English
5219;The Bluest Eye;Toni Morrison;Fiction;English
5296;An Ideal Husband;Oscar Wilde;Classics;English
5297;The Picture of Dorian Gray;Oscar Wilde;Classics;English
5326;A Christmas Carol;Charles Dickens;Classics;English
5358;The Firm;John Grisham;Fiction;English
5427;Orientalism;Edward W. Said;Nonfiction;English
5439;Interpreter of Maladies;Jhumpa Lahiri;Short Stories;English
5470;1984;George Orwell;Classics;English
5507;The Diary of Anne Frank;Anne Frank;History;English
5526;Dear John;Nicholas Sparks;Romance;English
5527;All the King's Men;Robert Penn Warren;Fiction;English
5544;Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character;Richard Feynman;Science;English
5548;What Do You Care What Other People Think?;Richard Feynman;Science;English
5558;iWoz;Steve Wozniak;Biography;English
5559;Jack: Straight from the Gut;Jack Welch;Biography;English
5579;Eat, Drink, and Be Healthy: The Harvard Medical School Guide to Healthy Eating;Walter C. Willett;Health;English
5592;From Counterculture to Cyberculture: Stewart Brand, the Whole Earth Network, and the Rise of Digital Utopianism;Fred Turner;Nonfiction;English
5659;The Wind in the Willows;Kenneth Grahame;Classics;English
5693;Selected Stories;Anton Chekhov;Short Stories;English
5720;Rainbow Six (Jack Ryan Universe #10);Tom Clancy;Fiction;English
5759;Fight Club;Chuck Palahniuk;Fiction;English
5797;Fight Club;Chuck Palahniuk;Fiction;English
5809;Vanity Fair;William Makepeace Thackeray;Classics;English
5826;V.;Thomas Pynchon;Fiction;French
5890;Bel Canto;Ann Patchett;Fiction;English
5907;The Woman in White;Wilkie Collins;Classics;English
5933;The Hobbit (Middle-Earth Universe);J.R.R. Tolkien;Adventure;English
6035;100 Love Sonnets;Pablo Neruda;Poetry;English
6149;Tropic of Cancer;Henry Miller;Fiction;English
6150;Beloved (Toni Morrison Trilogy #1);Toni Morrison;Fiction;English
6183;Cry, the Beloved Country;Alan Paton;Fiction;English
6194;Wuthering Heights;Emily BrontÃ«;Classics;English
6200;Waiting for the Barbarians;J.M. Coetzee;Fiction;English
6310;Youth (Scenes from Provincial Life #2);J.M. Coetzee;Fiction;English
6319;Charlie and the Chocolate Factory (Charlie Bucket #1);Roald Dahl;Childrens;English
6327;The BFG;Roald Dahl;Fantasy;English
6334;The Witches;Roald Dahl;Fantasy;English
6440;Never Let Me Go;Kazuo Ishiguro;Fiction;English
6517;Ivanhoe (Waverley Novels #5);Walter Scott;Fiction;English
6534;The Bell Jar;Sylvia Plath;Classics;English
6543;Postmortem (Kay Scarpetta #1);Patricia Cornwell;Mystery;English
6613;At Risk (Winston Garano #1);Patricia Cornwell;Mystery;English
6614;Four Blondes;Candace Bushnell;Womens Fiction;English
6667;Lipstick Jungle;Candace Bushnell;Womens Fiction;English
6669;Boy: Tales of Childhood (Roald Dahl's Autobiography #1);Roald Dahl;Nonfiction;English
6671;Matilda;Roald Dahl;Young Adult;English
6687;The Wonderful Story of Henry Sugar and Six More;Roald Dahl;Childrens;English
6689;Charlie and the Great Glass Elevator (Charlie Bucket #2);Roald Dahl;Childrens;English
6690;James and the Giant Peach;Roald Dahl;Childrens;English
6727;Danny the Champion of the World;Roald Dahl;Unknown;English
6751;Papillon (Papillon #1);Henri CharriÃ¨re;Nonfiction;German
6759;Consider the Lobster and Other Essays;David Foster Wallace;Nonfiction;English
6862;Infinite Jest;David Foster Wallace;Fiction;English
6867;Amsterdam;Ian McEwan;Fiction;English
6871;Atonement;Ian McEwan;Historical;English
6882;Black Dogs;Ian McEwan;Fiction;English
6952;Papillon (Papillon #1);Henri CharriÃ¨re;Nonfiction;English
6969;Like Water for Chocolate (Como agua para chocolate);Laura Esquivel;Fiction;English
7036;Emma;Jane Austen;Classics;English
7061;The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency #4);Alexander McCall Smith;Mystery;English
7062;The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1);Alexander McCall Smith;Mystery;English
7082;Paris to the Moon;Adam Gopnik;Travel;English
7090;Do Androids Dream of Electric Sheep? (Blade Runner #1);Philip K. Dick;Science Fiction;English
7101;The Soul of a New Machine;Tracy Kidder;Nonfiction;English
7103;The 42nd Parallel (The U.S.A. Trilogy #1);John Dos Passos;Fiction;English
7126;The Big Money (The U.S.A. Trilogy #3);John Dos Passos;Fiction;English
7144;The Count of Monte Cristo;Alexandre Dumas;Classics;English
7178;Crime and Punishment;Fyodor Dostoyevsky;Classics;English
7186;The Catcher in the Rye;J.D. Salinger;Classics;English
7190;La Dame aux CamÃ©lias;Alexandre Dumas fils;Classics;English
7208;The Three Musketeers (The d'Artagnan Romances #1);Alexandre Dumas;Classics;English
7243;Under The Tuscan Sun - At Home In Italy;Frances Mayes;Travel;English
7244;Prodigal Son;Edward Villella;Unknown;English
7354;The Poisonwood Bible;Barbara Kingsolver;Historical;English
7437;The Shipping News;Annie Proulx;Fiction;English
7445;Naked Lunch;William S. Burroughs;Fiction;English
7455;The Glass Castle;Jeannette Walls;Nonfiction;English
7493;Sex and the City;Candace Bushnell;Womens Fiction;English
7526;Founding Brothers: The Revolutionary Generation;Joseph J. Ellis;History;English
7578;The Blind Side: Evolution of a Game;Michael   Lewis;Nonfiction;English
7585;The Awakening;Kate Chopin;Classics;English
7588;Spring's Awakening;Frank Wedekind;Plays;English
7603;A Portrait of the Artist as a Young Man;James Joyce;Classics;English
7607;Reading Lolita in Tehran: A Memoir in Books;Azar Nafisi;Nonfiction;English
7613;Lolita;Vladimir Nabokov;Classics;English
7624;Animal Farm;George Orwell;Classics;English
7628;Lord of the Flies;William Golding;Classics;English
7661;The Good Soldier;Ford Madox Ford;Classics;English
7667;Next;Michael Crichton;Fiction;English
7668;Airframe;Michael Crichton;Fiction;English
7672;Rising Sun;Michael Crichton;Fiction;English
7679;Congo;Michael Crichton;Fiction;English
7682;The Terminal Man;Michael Crichton;Fiction;English
7714;The Great Train Robbery;Michael Crichton;Fiction;English
7745;Pygmalion;George Bernard Shaw;Classics;English
7763;Fear and Loathing in Las Vegas;Hunter S. Thompson;Fiction;English
7805;The Joy Luck Club;Amy Tan;Classics;English
7815;Pale Fire;Vladimir Nabokov;Fiction;English
7850;The Year of Magical Thinking;Joan Didion;Nonfiction;English
7882;The Girl in the Flammable Skirt;Aimee Bender;Magical Realism;English
7911;On the Banks of Plum Creek (Little House #4);Laura Ingalls Wilder;Classics;English
7967;Five Little Peppers and How They Grew (Five Little Peppers #1);Margaret Sidney;Classics;English
7989;Speaker for the Dead (Ender's Saga #2);Orson Scott Card;Science Fiction;English
8068;The Redwall Cookbook (Redwall);Brian Jacques;Food and Drink;English
8127;Cloudy with a Chance of Meatballs (Cloudy with a Chance of Meatballs #1);Judi Barrett;Childrens;English
8248;Anne of Green Gables (Anne of Green Gables #1);L.M. Montgomery;Classics;English
8253;By the Shores of Silver Lake (Little House #5);Laura Ingalls Wilder;Classics;English
8282;Little Town on the Prairie (Little House #7);Laura Ingalls Wilder;Classics;English
8337;The Long Winter (Little House #6);Laura Ingalls Wilder;Historical;English
8600;Little House in the Big Woods (Little House #1);Laura Ingalls Wilder;Classics;English
8648;Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation;Lynne Truss;Nonfiction;English
8649;Xenocide (Ender's Saga #3);Orson Scott Card;Science Fiction;English
8650;The Lost World (Professor Challenger #1);Arthur Conan Doyle;Fiction;English
8695;The Lost World (Jurassic Park #2);Michael Crichton;Fiction;English
8714;The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2);Douglas Adams;Fiction;English
8716;An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It;Al Gore;Nonfiction;English
8787;Lincoln (Narratives of Empire #2);Gore Vidal;Historical;English
8841;The White Masai (The White Masai #1);Corinne Hofmann;Nonfiction;English
8844;The Tale of the Rose: The Love Story Behind The Little Prince;Consuelo de Saint-ExupÃ©ry;Nonfiction;English
8852;The Little Prince;Antoine de Saint-ExupÃ©ry;Childrens;English
8906;Macbeth;William Shakespeare;Classics;English
8908;The Great Gatsby;F. Scott Fitzgerald;Classics;English
8947;World War Z: An Oral History of the Zombie War;Max Brooks;Science Fiction;English
9011;The Naked Chef Takes Off;Jamie Oliver;Food and Drink;English
9193;Bergdorf Blondes;Plum Sykes;Fiction;English
9220;Irina: Ballet, Life and Love;Irina Baronova;Biography;English
9230;George Balanchine: The Ballet Maker;Robert Gottlieb;Unknown;English
9240;Basic Principles of Classical Ballet;Agrippina Vaganova;Unknown;English
9248;Ballet: An Illustrated History;Mary Clarke;Nonfiction;English
9290;The Joffrey Ballet: Robert Joffrey and the Making of an American Dance Company;Sasha Anawalt;Unknown;English
9327;Hija de la fortuna;Isabel Allende;Historical;Spanish
9339;The House of the Spirits;Isabel Allende;Fiction;English
9345;Surfing the Himalayas: A Spiritual Adventure;Frederick Lenz;Fiction;English
9375;Palestine: Peace Not Apartheid;Jimmy Carter;Nonfiction;English
9530;Fried Green Tomatoes at the Whistle Stop Cafe;Fannie Flagg;Fiction;English
